Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,URG Flag Count,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ClassLabel
2897,16,0,7040.0,0.0,440.0,440.0,0.0,0.0,0.0,0.0,2430100.1035554023,5522.954780807732,193.13333,268.09375,963.0,0.0,2897.0,193.13333,268.09375,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0,320,0,5522.9546,0.0,440.0,440.0,0.0,0.0,0,0,467.5,440.0,0.0,16,7040,0,0,-1,-1,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
41116,3,5,26.0,11601.0,20.0,8.666667,10.263203,4380.0,2320.2,2207.3413,282785.2904,194.5714564,5873.7144,10031.56,24648.0,40.0,15525.0,7762.5,10859.039,15441.0,84.0,41076.0,10269.0,11936.872,24648.0,159.0,0,72,112,72.964294,121.60716,4380.0,1291.8889,1980.7102,3.923213e+06,0,0,1453.375,8.666667,2320.2,3,26,5,11601,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
281587,2,2,96.0,282.0,48.0,48.0,0.0,141.0,141.0,0.0,1342.39151665382,14.205201234432,93862.336,115172.445,222395.0,29.0,59163.0,59163.0,0.0,59163.0,59163.0,29.0,29.0,0.0,29.0,29.0,0,16,16,7.1026006,7.1026006,141.0,85.2,50.938198,2594.7,0,0,106.5,48.0,141.0,2,96,2,282,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
4088887,5,5,935.0,933.0,935.0,187.0,418.1447,311.0,186.6,170.34172,456.8480224609375,2.445653200149536,454320.78,1.1503669e+06,3509876.0,5.0,4088887.0,1.02222175e+06,1.6758842e+06,3509881.0,24.0,533045.0,133261.25,131711.9,266958.0,1744.0,0,168,168,1.2228266,1.2228266,935.0,169.81818,291.06143,84716.766,0,0,186.8,187.0,186.6,5,935,5,933,219,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
424,1,1,59.0,75.0,59.0,59.0,0.0,75.0,75.0,0.0,316037.735849057,4716.9811320755,424.0,0.0,424.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,2358.4905,2358.4905,75.0,64.333336,9.237604,85.333336,0,0,96.5,59.0,75.0,1,59,1,75,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
158,2,2,82.0,114.0,41.0,41.0,0.0,57.0,57.0,0.0,1240506.32911392,25316.4556962025,52.666668,52.728867,108.0,3.0,3.0,3.0,0.0,3.0,3.0,47.0,47.0,0.0,47.0,47.0,0,40,40,12658.228,12658.228,57.0,47.4,8.763561,76.8,0,0,59.25,41.0,57.0,2,82,2,114,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.07407,27.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,37037.035,37037.035,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1,0,1,0,131,253,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
12720,1,1,36.0,114.0,36.0,36.0,0.0,114.0,114.0,0.0,11792.4528301887,157.232704402516,12720.0,0.0,12720.0,12720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,78.616356,78.616356,114.0,62.0,45.03332,2028.0,0,0,93.0,36.0,114.0,1,36,1,114,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
100097737,11,10,10.0,0.0,1.0,0.90909094,0.30151135,0.0,0.0,0.0,0.0999023584,0.2097949527,5.004887e+06,5.1238605e+06,10082785.0,10752.0,100097737.0,1.0009774e+07,44274.992,10093636.0,9907026.0,90190632.0,1.0021181e+07,27192.303,10093648.0,10011585.0,0,220,320,0.10989259,0.09990236,1.0,0.5,0.5117663,0.26190478,0,0,0.52380955,0.90909094,0.0,11,10,10,0,253,62,9,20,10853.4,42.116768,10913.0,10752.0,9.99892e+06,44248.863,10082785.0,9896274.0,Benign
199,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10050.251256281406,199.0,0.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,5025.1255,5025.1255,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,1,0,-1,16195,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
